Approval Number,Trading Name,Address1,Address2,Address3,Town,Postcode,"Part A, Section III: Meat of farmed game","Part A, Section IV: Wild game meat","Part A, Section V: Minced meat, meat preparations and mechanically separated meat","Part A, Section VI: Meat products","Part A, Section VII: Live bivalve molluscs","Part A, Section VIII: Fishery products","Part A, Section IX: Raw milk and dairy products","Part A, Section X: Eggs and egg products","Part A, Section XI: Frog's legs and snails","Part A, Section XII: Rendered animal fats and greaves","Part A, Section XIII: Treated stomachs, bladders and intestines","Part A, Section XIV: Gelatine","Part A, Section XV: Collagen",Part A (All sections),Species,Remarks,CompetentAuthority,Country
AR 001,Monteum Ltd,Fishermans Wharf,Brighton Road,,Shoreham,BN43 6RN,,,,,DC (Dispatch Centre),PP (Processing Plant),,,,,,,,"Section: VII (DC), Section: VIII (PP)",,,Adur District,England
AR 003,Southover Foods Ltd,Unit 4,Grange Industrial Estate,Albion Street,Southwick,BN42 4EN,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Adur District,England
AR 008,Higgidy Ltd,60 Dolphin Road,,,Shoreham,BN43 6PD,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Adur District,England
AR 009,Little Tums,Unit D1,Dolphine Way,,Shoreham-By-Sea,BN43 6NZ,,,,PP (Processing Plant),,,,,,,,,,Section: VI (PP),,,Adur District,England
AR 010,Malpass Markets,Unit 1,New Wharf,Brighton Road,Shoreham,BN43 6RN,,,"MM (Mince Meat Establishment), MP (Meat Preparation Establishment)",,,,,,,,,,,"Section: V (MM), Section: V (MP)",,,Adur District,England
AE 001,Booker Cash & Carry,Clay Flatts,,,Workington,CA14 2TQ,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 004 ,A & D Baxter,16/17 Eden Street,,Silloth,Wigton,CA5 4AD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 005 ,Gilcrux Springs Trout Farm,Rydal Mount,,Gilcrux,Carlisle,CA5 2QD,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 006 ,Macknight Limited,Site 14,Solway Industrial Estate,,Maryport,CA15 8NF,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 021,Solway Browm Shrimps,Unit 30,Station Road Industrial Estate,Silloth,Wigton,CA7 4AE,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 023 ,Maryport and Solway Fishing Co-op.,Maryport Harbour,,,Maryport,CA15 8AB,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 027 ,Rays  Shrimps Limited,Unit 1,Station Road Industrial Estate,Silloth,Wigton,CA7 4AE,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 029,Macknight Limited Plant 2,"Plant 2, Unit 200/17",Solway Industrial Estate,,Maryport,CA15 8NF,,,,,,PP (Processing Plant),,,,,,,,Section: VIII (PP),,,Allerdale Borough ,England
AE 030,Taste of the Lakes Limited,Unit 23A and 23B,Solway Industrial Estate,,Maryport,CA15 8NF,,,,PP (Processing Plant),,,PP (Processing Plant),,,,,,,"Section: IX (PP), Section: VI (PP)",,,Allerdale Borough ,England
AE 032,Harbourside Products Ltd, Harbour View,Glasson Industrial Estate,,Maryport,CA15 8NT,,,,,,"FFPP (Fresh Fishery Products Plant), PP (Processing Plant)",,,,,,,,"Section: VIII (FFPP), Section: VIII (PP)",,,Allerdale Borough ,England
