LA Number,Establishment Number,URN,Total Number of Teachers (Headcount),Total Number of Teaching Assistants (Headcount),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Headcount)",Total Number of Teachers (Full-Time Equivalent),Total Number of Teaching Assistants (Full-time Equivalent),"Total Number of Non Classroom-based School Support Staff, Excluding Auxiliary Staff (Full-Time Equivalent)",Pupil:     Teacher Ratio,Mean Gross FTE Salary of All Teachers
201,3614,100000,20,16,9,14.3,11.3,5.8,19.3,"£46,053"
202,2000,136807,6,7,2,4.8,4.3,1.6,19.2,"£45,589"
202,2001,139837,6,5,1,5.7,4.2,0.7,17.8,"£49,225"
202,2002,140686,0,1,0,0.0,0.6,0.0,NA,SUPP
202,2019,100008,22,19,7,20.4,17.1,6.0,19.4,"£44,640"
202,2036,100009,27,20,3,26.6,16.5,3.0,16.8,"£45,328"
202,2065,100010,26,16,7,25.0,13.5,6.2,15.6,"£39,253"
202,2078,100011,28,19,12,26.4,15.2,8.1,16.5,"£42,305"
202,2095,100012,22,35,6,20.1,23.5,5.5,17.8,"£46,462"
202,2184,100013,13,13,5,12.4,9.2,4.0,17.4,"£43,912"
202,2219,100014,17,20,4,14.2,15.5,4.0,16.1,"£44,398"
202,2290,100015,8,10,6,7.1,5.2,4.8,20.6,"£46,046"
202,2436,100018,26,30,7,25.5,23.0,7.0,17.2,"£46,255"
202,2438,100019,24,23,8,21.2,15.3,8.0,20.7,"£46,384"
202,2475,100020,26,34,10,19.7,30.0,8.8,23.1,"£45,094"
202,2502,100021,28,34,12,25.5,26.1,9.5,16.9,"£44,441"
202,2507,100022,29,18,11,27.3,14.7,11.0,16.3,"£46,367"
202,2603,100023,26,29,6,24.1,23.0,5.8,18.6,"£41,158"
202,2775,100025,23,30,13,21.4,20.8,10.2,21.9,"£46,060"
202,2797,100026,12,17,2,10.2,14.6,2.0,22.7,"£45,149"
202,2841,100027,16,18,5,13.2,13.6,3.7,17.9,"£44,770"
202,2842,130342,13,19,6,11.4,13.3,4.2,20.7,"£44,118"
202,2843,132245,34,20,8,33.2,18.8,8.0,19.0,"£43,382"
202,3323,100028,11,7,3,10.3,5.6,2.3,18.2,"£38,976"
202,3327,100029,14,14,4,13.0,11.5,3.3,17.2,"£40,513"
202,3340,100030,14,14,7,13.5,13.7,6.4,18.6,"£40,841"
202,3352,100031,11,12,4,11.0,7.6,4.0,21.2,"£37,007"
202,3359,100032,14,16,5,12.2,12.8,4.9,14.8,"£38,779"
202,3361,100033,14,11,2,10.8,7.7,2.0,19.3,"£40,415"
202,3370,100034,17,26,3,13.9,17.3,2.9,16.9,"£45,310"
202,3391,100035,19,17,5,16.4,11.6,4.2,20.4,"£47,522"
202,3398,100036,12,15,4,11.6,11.3,2.4,18.9,"£46,540"
202,3400,100037,14,13,2,12.8,11.5,2.0,31.0,"£43,263"
202,3401,100038,11,14,4,10.7,11.3,2.9,NA,"£35,093"
202,3429,100039,17,11,9,16.5,8.7,8.4,16.8,"£41,645"
202,3441,100040,16,11,2,15.8,11.0,1.8,13.7,"£40,731"
202,3482,100041,14,9,4,12.9,8.1,4.0,17.1,"£40,330"
202,3517,100042,14,8,6,13.4,7.9,5.7,17.0,"£43,232"
202,3521,100043,12,16,4,11.6,15.4,4.0,20.3,"£41,657"
202,3546,100044,8,10,2,7.8,8.1,2.0,22.6,"£47,626"
202,3560,100045,13,11,5,10.9,9.9,3.8,21.1,"£46,964"
202,3568,100046,13,13,2,10.9,10.0,2.0,19.0,"£45,769"
202,3649,100047,16,12,4,14.8,12.0,3.1,14.2,"£48,308"
202,3655,100048,11,8,6,11.0,7.4,6.0,20.2,"£44,691"
202,4000,137181,96,33,31,91.9,30.3,29.0,11.4,"£42,597"
202,4104,100049,83,17,30,81.8,15.7,28.1,14.0,"£49,579"
202,4166,100050,92,7,23,89.4,7.0,22.7,12.3,"£42,520"
202,4196,100051,59,16,23,59.0,14.6,22.3,14.9,"£43,812"
202,4275,100052,96,20,32,93.1,17.3,26.9,13.5,"£44,444"
202,4285,100053,76,21,37,72.7,18.7,29.3,13.2,"£45,657"
202,4611,100054,82,9,30,66.5,6.2,25.0,15.3,"£46,798"
202,4652,100055,45,10,20,44.0,10.0,19.7,14.6,"£48,574"
202,4688,100056,67,6,19,62.0,3.8,17.6,13.0,"£49,514"
202,5401,100059,88,13,30,78.6,11.6,25.5,14.3,"£47,084"
203,2018,143211,24,27,10,24.0,20.0,7.3,18.6,"£36,312"
203,2024,100112,20,19,13,17.6,14.8,10.4,12.0,"£42,168"
203,2028,100113,49,39,12,44.0,25.4,10.1,18.3,"£41,067"
203,2071,100114,20,24,8,18.1,17.6,6.8,21.3,"£49,162"
203,2106,100115,15,21,4,12.9,14.9,3.1,18.4,"£38,813"
203,2174,100120,25,32,9,23.8,17.7,6.1,18.4,"£37,716"
203,2228,100125,21,14,8,20.0,5.9,7.5,20.6,"£41,147"
203,2242,100126,24,29,4,22.8,20.2,4.0,18.2,"£42,896"
203,2258,100127,21,28,5,18.2,16.3,4.9,23.9,"£40,520"
203,2266,100128,20,27,26,19.0,18.5,22.7,14.2,"£38,630"
203,2271,100129,16,16,5,14.8,15.0,4.8,21.7,"£41,303"
203,2275,100130,20,25,9,17.8,15.6,6.2,21.7,"£35,312"
203,2299,100131,22,18,8,20.7,12.8,5.9,20.3,"£41,598"
203,2313,100132,25,24,10,22.7,17.6,6.3,18.2,"£37,132"
203,2325,100134,30,24,9,28.0,18.8,6.3,18.2,"£33,937"
203,2353,100136,28,22,9,28.0,13.4,8.2,14.4,"£39,218"
203,2410,100137,18,13,11,15.8,10.3,5.6,14.1,"£44,762"
203,2471,100140,46,43,24,41.0,34.0,12.8,17.8,"£45,382"
203,2552,100141,21,24,7,20.4,17.9,6.0,22.8,"£36,073"
203,2598,100142,13,13,5,11.4,8.5,3.2,19.6,"£42,735"
203,2656,100145,38,25,10,37.5,18.6,9.2,15.2,"£38,040"
203,2662,100146,24,35,5,20.2,25.1,4.0,21.3,"£44,646"
